"URI","Title","RecordId","Authority","Degree","Deity","Denomination","Dynasty","Engraver","Era","Issuer","Maker","Manufacture","Material","Mint","Obverse Legend","Obverse Type","Object Type","Portrait","Reference","Region","Reverse Legend","Reverse Type","Year","Date Record Modified"
"http://numismatics.org/ocre/id/ric.6.tri.187b","RIC VI Treveri 187b","ric.6.tri.187b","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP MAXIMIANVS AVG","Head of Maximian, laureate, right","Coin","Maximian","","Gallia","GENIO POPV-LI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","296|297","2016-06-24T16:24:19Z"
"http://numismatics.org/ocre/id/ric.6.tri.181b","RIC VI Treveri 181b","ric.6.tri.181b","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP MAXIMIANVS P AVG","Head of Maximian, laureate, right","Coin","Maximian","","Gallia","GENIO POPV-LI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","296|297","2016-06-24T16:24:17Z"
"http://numismatics.org/ocre/id/ric.6.tri.178a","RIC VI Treveri 178a","ric.6.tri.178a","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP DIOCLETIANVS P F AVG","Bust of Diocletian, laureate, cuirassed, left, holding spear (rarely sceptre) over right shoulder and shield on left arm","Coin","Diocletian","","Gallia","GENIO POPV-LI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","296|297","2016-06-24T16:24:16Z"
"http://numismatics.org/ocre/id/ric.6.tri.173b","RIC VI Treveri 173b","ric.6.tri.173b","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP MAXIMIANVS P F AVG","Bust of Maximian, laureate, draped, cuirassed, right","Coin","Maximian","","Gallia","GENIO POPV-LI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","296|297","2016-06-24T16:24:15Z"
"http://numismatics.org/ocre/id/ric.6.tri.172b","RIC VI Treveri 172b","ric.6.tri.172b","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP MAXIMIANVS P F AVG","Bust of Maximian, laureate, cuirassed, right","Coin","Maximian","","Gallia","GENIO POPV-LI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","296|297","2016-06-24T16:24:15Z"
"http://numismatics.org/ocre/id/ric.6.tri.459","RIC VI Treveri 459","ric.6.tri.459","Maximian","","Moneta","AE1","","","","","","Struck","Bronze","Trier","IMP MAXIMIANVS P FEL AVG","Bust of Maximian, laureate, cuirassed, right","Coin","Maximian","","Gallia","M SACRA AVGG ET CAESS NN or M SACRA AV-GG ET CAESS NN or M SACRA AVGG - ET CAESS NN","Moneta, draped, standing left, holding scales in right hand and cornucopiae in left hand","300|301","2016-06-24T16:25:08Z"
"http://numismatics.org/ocre/id/ric.6.tri.160b","RIC VI Treveri 160b","ric.6.tri.160b","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","MAXIMIANVS NOB CAES","Head of Galerius, laureate, left","Coin","Galerius","","Gallia","GENIO POPV-LI ROMANI or GENIO POP-VLI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","295","2016-06-24T16:24:12Z"
"http://numismatics.org/ocre/id/ric.6.tri.155b","RIC VI Treveri 155b","ric.6.tri.155b","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP MAXIMIANVS AVG","Head of Maximian, laureate, left","Coin","Maximian","","Gallia","GENIO POPV-LI ROMANI or GENIO POP-VLI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","295","2016-06-24T16:24:11Z"
"http://numismatics.org/ocre/id/ric.6.tri.151a","RIC VI Treveri 151a","ric.6.tri.151a","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP DIOCLETIANVS P F AVG","Head of Diocletian, laureate, right","Coin","Diocletian","","Gallia","GENIO POPV-LI ROMANI or GENIO POP-VLI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","295","2016-06-24T16:24:10Z"
"http://numismatics.org/ocre/id/ric.6.tri.451","RIC VI Treveri 451","ric.6.tri.451","Maximian","","Moneta","AE1","","","","","","Struck","Bronze","Trier","MAXIMIANVS NOBIL CAES","Bust of Galerius, laureate, cuirassed, right","Coin","Galerius","","Gallia","MONETA •S• AVGG ET CAESS NN or MONETA S AVGG ET CAESS NN or MONETA •S• AV-GG ET CAESS NN","Moneta, draped, standing left, holding scales in right hand and cornucopiae in left hand","300|301","2016-06-24T16:25:07Z"
"http://numismatics.org/ocre/id/ric.6.tri.144","RIC VI Treveri 144","ric.6.tri.144","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP DIOCLETIANVS AVG ET MAXIMIANVS C","Head of Diocletian, laureate, right, sometimes seen from behind, and head of Maximian, laureate, right, sometimes seen from behind","Coin","Diocletian|Maximian","","Gallia","GENIO POPV-LI ROMANI or GENIO POP-VLI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","294","2016-06-24T16:24:08Z"
"http://numismatics.org/ocre/id/ric.6.tri.142a","RIC VI Treveri 142a","ric.6.tri.142a","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP DIOCLETIANVS P AVG","Head of Diocletian, laureate, right, sometimes seen from behind","Coin","Diocletian","","Gallia","GENIO POPV-LI ROMANI or GENIO POP-VLI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","294","2016-06-24T16:24:08Z"
"http://numismatics.org/ocre/id/ric.3.ant.124","RIC III Antoninus Pius 124","ric.3.ant.124","Antoninus Pius","","","Denarius","","","","","","Struck","Silver","Rome","ANTONINVS AVG PIVS P P","Head of Antoninus Pius, laureate, right","Coin","Antoninus Pius","","Italy","AED DIVI AVG REST COS IIII","Octostyle temple containing statues of Divus Augustus and Livia","145|161","2014-11-04T11:04:34.229Z"
"http://numismatics.org/ocre/id/ric.6.tri.139a","RIC VI Treveri 139a","ric.6.tri.139a","Maximian","","Genius","AE1","","","","","","Struck","Bronze","Trier","IMP C DIOCLETIANVS P AVG","Head of Diocletian, laureate, right, sometimes seen from behind","Coin","Diocletian","","Gallia","GENIO POPV-LI ROMANI or GENIO POP-VLI ROMANI","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand","294","2016-06-24T16:24:07Z"
"http://numismatics.org/ocre/id/ric.7.tri.99","RIC VII Treveri 99","ric.7.tri.99","Constantine I","","Sol","AE2|AE3","","","","","","Struck","Bronze","Trier","IMP CONSTANTINVS P AVG","Bust of Constantine I, laureate, cuirassed, right","Coin","Constantine I","","Gallia","SOLI INVIC-TO COMITI","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand","316","2016-06-24T16:35:27Z"
"http://numismatics.org/ocre/id/ric.6.tri.130","RIC VI Treveri 130","ric.6.tri.130","Maximian","","","Uncertain value","","","","","","Struck","Silver","Trier","IMP MAXIMIANVS AVG","Head of Maximian, laureate, right","Coin","Maximian|Diocletian|Constantius Chlorus|Galerius","","Gallia","VIRTVS - MILITVM","Diocletian, Maximian, Constantius Chlorus, and Galerius, draped, standing, sacrificing over tripod; behind, gate in six (or eight)-turreted enclosure","300|301","2016-06-24T16:24:06Z"
"http://numismatics.org/ocre/id/ric.6.tri.124a","RIC VI Treveri 124a","ric.6.tri.124a","Maximian","","","Uncertain value","","","","","","Struck","Silver","Trier","CONSTANTIVS N C","Bust of Constantius Chlorus, laureate, cuirassed, right","Coin","Constantius Chlorus|Diocletian|Maximian|Galerius","","Gallia","VIRTVS - MILITVM","Diocletian, Maximian, Constantius Chlorus, and Galerius, draped, standing, sacrificing over tripod; behind, gate in six (or eight)-turreted enclosure","300|301","2016-06-24T16:24:05Z"
